lat,lon,place,medianPriceUsd,propertyTaxRatePct,reforestCoverPct
40.7128,-74.0060,New York City,720000,1.72,24
34.0522,-118.2437,Los Angeles,880000,0.74,19
41.8781,-87.6298,Chicago,315000,2.07,20
29.7604,-95.3698,Houston,295000,1.91,29
33.4484,-112.0740,Phoenix,440000,0.67,16
47.6062,-122.3321,Seattle,725000,0.88,37
32.7157,-117.1611,San Diego,830000,0.73,17
51.5074,-0.1278,London,650000,0.90,21
48.8566,2.3522,Paris,750000,1.29,25
35.6762,139.6503,Tokyo,480000,1.08,41
52.5200,13.4050,Berlin,390000,2.50,32
-33.8688,151.2093,Sydney,980000,0.31,46
